Rank,Kept dice,Probability (%),Expected turn points,Most likely box,Expected game total
1,6 6 6 6 6,0.228,50.0,Yahtzee,320.83
2,5 5 5 5 5,0.222,50.0,Yahtzee,320.83
3,2 2 2 2 2,0.191,50.0,Yahtzee,320.83
4,3 3 3 3 3,0.202,50.0,Yahtzee,320.83
5,4 4 4 4 4,0.211,50.0,Yahtzee,320.83
6,1 1 1 1 1,0.156,50.0,Yahtzee,320.83
7,6 6 6 6,2.251,28.33,Sixes,277.0
8,5 5 5 5,2.181,25.0,Fives,273.87
9,4 4 4 4,1.995,21.67,Fours,271.01
10,3 3 3 3,1.865,18.33,Threes,267.97
11,2 2 2 2,1.704,15.0,Twos,264.53
12,1 2 3 4 5,2.772,40.0,Lg. Straight,261.53
13,2 3 4 5 6,2.529,40.0,Lg. Straight,261.53
14,1 1 1 1,1.168,11.67,Ones,260.19
15,6 6 6,8.008,23.33,Sixes,258.13
16,5 5 5,7.855,19.31,Fives,256.58
17,4 4 4,6.785,15.97,Fours,255.25
18,2 2 2 4 4,0.255,25.0,Full House,253.91
19,1 1 2 2 2,0.196,25.0,Full House,253.91
20,1 1 3 3 3,0.229,25.0,Full House,253.91
21,1 1 1 6 6,0.163,25.0,Full House,253.91
22,2 2 2 5 5,0.279,25.0,Full House,253.91
23,1 1 1 5 5,0.171,25.0,Full House,253.91
24,1 1 1 4 4,0.148,25.0,Full House,253.91
25,1 1 1 3 3,0.136,25.0,Full House,253.91
26,1 1 1 2 2,0.125,25.0,Full House,253.91
27,2 2 2 3 3,0.243,25.0,Full House,253.91
28,2 2 2 6 6,0.27,25.0,Full House,253.91
29,2 2 3 3 3,0.264,25.0,Full House,253.91
30,3 3 3 6 6,0.302,25.0,Full House,253.91
31,3 3 3 5 5,0.311,25.0,Full House,253.91
32,3 3 3 4 4,0.287,25.0,Full House,253.91
33,3 3 3,4.708,13.19,Threes,253.86
34,2 2 2,4.044,10.42,Twos,252.09
35,2 3 4 5,3.779,33.33,Sm. Straight,251.55
36,1 1 1,1.9,7.64,Ones,249.38
37,3 4 5 6,3.472,31.67,Sm. Straight,249.05
38,1 2 3 4,3.501,31.67,Sm. Straight,249.05
39,6 6,11.638,19.09,Chance,247.78
40,5 5,9.831,15.87,Fives,247.16
41,4 4,6.023,14.31,Fours,246.68
42,2 3 4,0.789,21.5,Sm. Straight,246.28
43,1 1 2 2,0.472,9.67,Ones,246.23
44,1 1 3 3,0.6,9.67,Ones,246.23
45,3 4 5,0.5,21.89,Sm. Straight,246.16
46,3 3,2.404,12.14,Threes,246.15
47,2 2,1.9,8.32,Twos,245.97
48,4 5 6,0.257,23.06,Chance,245.17
49,3 4,0.021,17.8,Sm. Straight,245.16
50,1 1,0.314,5.55,Ones,245.14
51,2 3 5,0.143,14.94,Twos,244.91
