Rank,Dice,Probability (%),Box,Turn points,Expected game total
1,1 1 1 1 1,4.144,Yahtzee,50,320.83
2,1 6 6 6 6,4.909,Sixes,24,268.23
3,1 5 5 5 5,4.682,Fives,20,264.48
4,1 2 3 4 5,7.898,Lg. Straight,40,261.53
5,1 4 4 4 4,3.965,Fours,16,261.05
6,1 3 3 3 3,3.029,Threes,12,257.4
7,5 5 6 6 6,0.43,3 of a Kind,28,253.96
8,1 1 1 2 2,10.906,Full House,25,253.91
9,1 2 2 2 2,2.675,Twos,8,253.27
10,4 5 6 6 6,0.775,3 of a Kind,27,252.96
11,3 5 6 6 6,0.768,3 of a Kind,26,251.96
12,2 5 6 6 6,2.253,3 of a Kind,25,250.96
13,1 2 6 6 6,4.609,Sixes,18,250.53
14,1 2 5 5 5,6.403,Fives,15,249.98
15,1 2 4 4 4,5.487,Fours,12,249.41
16,1 2 3 3 3,3.324,Threes,9,248.72
17,1 1 1 1 2,1.523,Ones,4,248.06
18,1 2 2 2 3,2.8,Twos,6,247.6
19,1 1 2 3 4,10.688,Sm. Straight,30,246.56
20,4 5 5 6 6,0.312,Chance,26,245.96
21,1 1 1 2 3,1.143,Ones,3,245.32
22,3 5 5 6 6,0.558,Chance,25,244.96
23,2 5 5 6 6,0.533,Chance,24,243.96
24,1 5 5 6 6,1.076,Chance,23,242.96
25,1 1 2 2 3,2.673,Ones,2,242.38
26,1 4 5 6 6,1.563,Chance,22,241.96
27,1 2 2 3 3,2.677,Twos,4,241.75
28,1 3 5 6 6,1.912,Chance,21,240.96
29,1 2 5 6 6,1.832,Chance,20,239.96
30,1 2 3 3 5,1.524,Threes,6,239.95
31,1 2 3 5 5,2.716,Ones,1,239.63
32,2 3 4 4 6,0.212,Chance,19,238.96
