Rank,Kept dice,Probability,Expected turn points,Most likely box,Expected game total
1,6 6 6 6 6,0.000129,50.0,Yahtzee,320.83
2,5 5 5 5 5,0.000129,50.0,Yahtzee,320.83
3,2 2 2 2 2,0.000129,50.0,Yahtzee,320.83
4,3 3 3 3 3,0.000129,50.0,Yahtzee,320.83
5,4 4 4 4 4,0.000129,50.0,Yahtzee,320.83
6,1 1 1 1 1,0.000129,50.0,Yahtzee,320.83
7,6 6 6 6,0.003215,31.94,Sixes,284.3
8,5 5 5 5,0.003215,29.17,Fives,281.7
9,4 4 4 4,0.003215,26.39,Fours,279.31
10,3 3 3 3,0.003215,23.61,Threes,276.78
11,2 2 2 2,0.003215,20.83,Twos,273.91
12,1 1 1 1,0.003215,18.06,Ones,270.3
13,6 6 6,0.03215,25.46,Sixes,265.11
14,5 5 5,0.03215,21.74,Fives,263.17
15,2 3 4 5 6,0.015432,40.0,Lg. Straight,261.53
16,1 2 3 4 5,0.015432,40.0,Lg. Straight,261.53
17,4 4 4,0.03215,18.5,Fours,261.45
18,3 3 3,0.03215,17.28,Threes,259.65
19,2 2 2,0.03215,14.81,Twos,257.7
20,1 1 1,0.03215,12.35,Ones,254.99
21,2 3 4 5,0.030864,35.56,Lg. Straight,254.88
22,6 6,0.154321,21.77,Sixes,253.94
23,5 5,0.131173,19.12,Fives,253.02
24,4 4,0.115741,17.62,Fours,252.24
25,3 3,0.100309,17.06,Threes,251.41
26,3 4 5 6,0.015432,33.06,Sm. Straight,251.13
27,1 2 3 4,0.030864,33.06,Sm. Straight,251.13
28,3 4 5,0.007716,26.25,Sm. Straight,250.62
29,2 2,0.07716,14.51,Twos,250.56
30,5,0.069444,18.8,Fives,249.94
31,4,0.015432,19.73,Sm. Straight,249.88
32,6,0.007716,19.06,Chance,249.83
